ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
202,13175.403783454076,86.6485338434873,1,3.121492266688973,63.46349432717401,9,0.0523428665825131,8.630515349694399,0.081321680689565,85.0423792820698,0,2419.6167853897314,0.4689466237325203,5.551638989779324,236.4393009685121,1
535,19770.046092867626,86.3106636132627,4,0.8195305110016484,83.69781763161657,20,4.908328249649529,9.296598088201092,0.0384864696462169,99.65744298305935,7,3915.566712518908,0.1194845582710166,9.080753556517903,353.95763117070123,1
960,19060.820997456784,82.13247237873196,0,4.514504070609866,90.3505500280751,1,2.464922789091977,5.097485700889168,0.002887365066928,92.81926429207655,2,3392.385361907013,0.4963915263771467,6.562827271335978,396.1894020789741,1
370,5647.606036955175,87.33596641292537,5,0.6385239600693806,67.62869012018982,8,4.692475791653855,3.5776159908082663,0.0553309712298263,96.88701345693424,8,4652.400275208078,0.1831250880808031,8.097495649797912,164.13586993599623,1
206,7472.222235941557,81.9898933774593,3,3.867783602943844,82.72833363149964,9,2.746726169175264,6.851709481404519,0.0680471388923527,88.31555363943427,7,1581.6303322233557,0.2635069441596037,6.406154013365929,365.7089635552469,1
171,6975.931601818429,95.33191889424104,1,3.914573642169408,92.56843593531472,19,3.0273243011114435,7.930009365731895,0.0740694945336006,87.07911774289636,7,1238.994421294104,0.118020523266287,7.279442018854667,171.7118038606049,1
800,15889.698649779431,99.32548595496372,3,4.788999883768687,90.72991110585264,10,3.559561279519861,3.0468885305972844,0.0401924954309284,91.06315789762183,8,3138.4311499645146,0.3339128812432125,4.89166883913966,188.72773739599336,1
120,17266.77994785418,99.40148913333414,4,0.7436048378104434,92.11968071468613,13,1.6048786683220275,8.380972117476272,0.00970196314924,88.70556885253279,3,1004.1085544431404,0.2934221061603966,9.333834716873657,312.526896112006,1
714,8202.670494660078,97.30142198750788,5,3.185855873530209,95.17293699478878,2,3.494919803375173,3.668746560100464,0.0584326434463386,94.29896110273587,4,4150.875772539863,0.366682813893912,5.517451183952448,215.68092079042992,1
221,12587.790394277436,92.01584298679238,2,2.4252825678217382,97.5072840863788,0,2.6339595492569186,5.93341834326768,0.0329547885238181,85.3163618042359,6,3023.891554740037,0.317071250916589,5.965972023040868,364.6381764945946,0
566,17610.545420168,94.0173139448776,3,1.9878482968679392,76.22084620814144,6,3.3623997479125336,8.851859599025223,0.0946887482274853,88.99182062184799,1,2952.2623042315745,0.2592711138588276,5.724689529293646,482.3106496966153,0
314,15992.023171493758,85.70411605360829,0,0.9064335213458288,82.75076410091509,3,4.1791663045492005,3.5473960883415403,0.0502712108061327,97.9026549458812,6,2449.9839148966976,0.3951026791246683,3.845701181484266,159.55688053495768,0
430,13133.558082377724,92.61540840345242,1,3.0319435385208915,91.62638104182444,6,0.9211456513599198,3.9350771838623,0.0472266046798978,95.12215800686658,2,2499.89534459505,0.1100084511147831,3.0811459203926708,328.2043329237667,1
558,13855.215356881594,89.11299098879755,0,2.655683265535761,87.88559255783133,15,3.0677545516787985,2.502169251993532,0.0309209532318356,83.36140330035789,5,2724.5347130026234,0.316411608349838,1.6645146770399952,469.3196730692771,1
